Date Time,TEMPERATURE,RELATIVE_HUMIDITY,SOIL_MOISTURE,PRESSURE,WIND_SPEED,RAINFALL,NDVI
09-02-2022 09:08,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:08,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:09,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:09,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:09,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:10,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:10,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:10,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:11,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:11,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:11,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:11,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:12,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:12,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:12,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:13,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:13,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:13,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:13,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:14,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:14,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:14,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:15,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:15,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:15,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:16,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:16,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:16,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:16,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:17,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:17,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:17,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:18,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:18,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:18,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:19,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:19,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:19,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:19,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:20,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:20,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:20,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:21,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:21,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:21,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:21,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:22,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:22,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:22,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:23,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:23,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:23,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:24,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:24,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:24,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:24,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:25,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:25,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:25,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:26,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:26,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:26,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:27,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:27,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:27,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:27,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:28,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:28,139.63,40.355,8.985,493.06,1.435,0,0.33
09-02-2022 09:28,139.63,40.355,17.945,493.06,1.435,0,0.33
09-02-2022 09:29,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:29,139.63,40.355,17.95,493.06,1.435,0,0.33
09-02-2022 09:29,139.63,40.355,17.905,493.06,1.435,0,0.33
09-02-2022 09:29,139.63,40.355,17.905,493.06,1.435,0,0.33
09-02-2022 09:30,139.63,40.355,17.905,493.06,1.435,0,0.33
09-02-2022 09:30,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:30,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:31,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:31,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:31,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:32,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:32,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:32,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:32,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:33,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:33,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:33,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:34,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:34,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:34,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:35,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:35,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:35,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:35,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:36,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:36,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:36,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:37,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:37,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:37,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:37,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:38,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:38,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:38,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:39,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:39,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:39,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:40,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:40,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:40,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:40,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:41,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:41,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:41,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:42,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:42,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:42,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:43,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:43,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:43,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:43,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:44,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:44,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:44,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:45,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:45,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:45,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:45,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:46,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:46,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:46,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:47,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:47,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:47,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:48,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:48,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:48,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:48,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:49,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:49,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:49,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:50,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:50,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:50,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:50,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:51,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:51,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:51,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:52,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:52,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:52,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:53,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:53,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:53,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:53,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:54,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:54,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:54,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:55,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:55,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:55,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:56,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:56,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:56,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:56,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:57,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:57,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:57,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:58,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:58,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:58,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:59,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:59,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:59,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 09:59,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:00,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:00,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:00,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:01,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:01,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:01,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:01,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:02,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:02,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:02,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:03,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:03,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:03,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:04,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:04,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:04,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:04,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:05,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:05,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:05,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:06,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:06,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:06,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:06,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:07,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:07,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:07,139.63,40.355,17.96,493.06,1.435,0,0.33
09-02-2022 10:08,139.63,40.355,17.96,493.06,1.435,0,0.33
